3_10_14,101_7_8
3_10_15,103_11_18
3_10_16,102_20_5
3_10_17,106_2_15
3_10_18,105_10_16
3_10_19,108_7_6
3_10_20,107_5_20
3_11_1,109_7_16
3_11_2,109_7_9
3_11_3,108_7_18
3_11_4,108_14_17
3_11_5,109_19_9
3_11_6,105_14_8
3_11_7,110_20_7
3_11_8,110_12_19
3_11_9,102_16_9
3_11_10,101_15_13
3_11_11,101_19_7
3_11_12,101_3_9
3_11_13,103_4_10
3_11_14,101_7_2
3_11_15,102_3_1
3_11_16,106_1_17
3_11_17,102_3_17
3_11_18,106_10_18
3_11_19,102_2_13
3_11_20,110_10_20
3_12_1,101_16_1
3_12_2,107_4_18
3_12_3,104_7_1
3_12_4,101_12_17
3_12_5,110_7_4
3_12_6,102_2_19
3_12_7,108_11_1
3_12_8,102_4_12
3_12_9,101_10_8
3_12_10,106_12_2
3_12_11,101_17_7
3_12_12,102_20_4
3_12_13,110_20_12
3_12_14,108_8_12
3_12_15,101_8_11
3_12_16,107_12_11
3_12_17,104_7_6
3_12_18,110_20_4
3_12_19,106_20_13
3_12_20,106_12_20
3_13_1,106_13_2
3_13_2,106_18_8
3_13_3,104_13_12
3_13_4,106_11_11
3_13_5,104_12_15
3_13_6,106_14_11
3_13_7,106_3_5
3_13_8,102_20_13
3_13_9,102_9_19
3_13_10,108_16_1
3_13_11,110_6_16
3_13_12,104_18_9
3_13_13,108_18_12
3_13_14,103_9_18
3_13_15,110_7_13
3_13_16,108_3_6
3_13_17,107_3_18
3_13_18,105_16_3
3_13_19,110_16_7
3_13_20,106_15_20
3_14_1,104_10_6
3_14_2,107_15_19
3_14_3,102_10_6
3_14_4,105_9_3
3_14_5,105_7_18
3_14_6,109_5_17
3_14_7,102_16_18
3_14_8,107_19_13
3_14_9,106_3_19
3_14_10,103_6_18
3_14_11,108_5_11
3_14_12,102_11_17
3_14_13,104_11_12
3_14_14,104_17_15
3_14_15,109_7_3
3_14_16,107_10_2
3_14_17,109_7_19
3_14_18,107_18_14
3_14_19,105_2_10
3_14_20,106_20_20
3_15_1,107_11_17
3_15_2,108_14_7
3_15_3,101_15_6
3_15_4,102_2_16
3_15_5,102_2_17
3_15_6,106_15_5
3_15_7,108_9_2
3_15_8,110_3_12
3_15_9,103_17_11
3_15_10,106_20_18
3_15_11,101_4_14
3_15_12,101_2_4
3_15_13,103_1_11
3_15_14,107_20_16
3_15_15,108_5_11
3_15_16,107_11_17
3_15_17,110_6_16
3_15_18,101_7_13
3_15_19,105_7_14
3_15_20,102_16_20
3_16_1,104_16_5
3_16_2,103_14_12
3_16_3,108_8_7
3_16_4,110_12_2
3_16_5,107_12_10
3_16_6,108_17_8
3_16_7,104_11_13
3_16_8,110_7_13
3_16_9,102_20_4
3_16_10,104_6_13
3_16_11,102_2_17
3_16_12,101_14_17
3_16_13,101_2_12
3_16_14,103_12_13
3_16_15,103_15_17
3_16_16,110_3_8
3_16_17,109_6_7
3_16_18,107_20_16
3_16_19,107_17_19
3_16_20,105_19_20
3_17_1,109_17_3
3_17_2,110_17_5
3_17_3,102_12_17
3_17_4,102_20_4
3_17_5,107_12_18
3_17_6,109_1_7
3_17_7,107_8_8
3_17_8,103_9_15
3_17_9,107_2_1
3_17_10,110_2_11
3_17_11,107_2_11
3_17_12,106_12_10
3_17_13,105_19_13
3_17_14,106_19_15
3_17_15,109_8_12
3_17_16,103_7_6
3_17_17,108_14_18
3_17_18,106_7_4
3_17_19,105_7_14
3_17_20,106_12_20
3_18_1,109_7_2
3_18_2,102_3_14
3_18_3,109_9_9
3_18_4,103_18_6
3_18_5,104_3_15
3_18_6,108_8_19
3_18_7,106_9_17
3_18_8,105_1_19
3_18_9,107_7_6
3_18_10,106_18_8
3_18_11,102_12_15
3_18_12,103_11_9
3_18_13,107_7_9
3_18_14,110_7_3
3_18_15,102_8_15
3_18_16,108_13_19
3_18_17,103_1_9
3_18_18,107_8_1
3_18_19,108_2_17
3_18_20,104_9_20
3_19_1,102_19_14
3_19_2,105_4_6
3_19_3,104_18_6
3_19_4,104_11_14
3_19_5,107_16_15
3_19_6,101_16_7
3_19_7,102_11_10
3_19_8,110_10_15
3_19_9,106_3_4
3_19_10,101_16_3
3_19_11,104_9_8
3_19_12,104_9_8
3_19_13,110_2_11
3_19_14,105_1_8
3_19_15,102_15_2
3_19_16,105_19_4
3_19_17,107_9_16
3_19_18,108_9_7
3_19_19,101_3_3
3_19_20,110_16_20
3_20_1,109_7_12
3_20_2,105_12_10
3_20_3,104_11_14
3_20_4,110_16_6
3_20_5,106_17_13
3_20_6,108_9_19
3_20_7,110_19_11
3_20_8,105_15_7
3_20_9,103_16_15
3_20_10,109_5_12
3_20_11,103_9_18
3_20_12,105_13_19
3_20_13,106_2_18
3_20_14,101_4_14
3_20_15,110_19_1
3_20_16,102_20_14
3_20_17,103_13_13
3_20_18,101_3_18
3_20_19,106_2_19
3_20_20,102_5_20
4_1_1,104_16_2
4_1_2,108_13_17
4_1_3,107_9_7
4_1_4,109_7_16
4_1_5,102_6_14
4_1_6,109_16_8
4_1_7,101_16_5
4_1_8,108_18_7
4_1_9,107_1_19
4_1_10,103_20_6
4_1_11,109_7_16
4_1_12,101_12_14
4_1_13,104_11_8
4_1_14,104_1_19
4_1_15,102_1_14
4_1_16,109_17_16
4_1_17,110_5_17
4_1_18,103_5_16
4_1_19,103_1_16
4_1_20,110_13_20
4_2_1,101_16_1
4_2_2,106_19_10
4_2_3,106_14_13
4_2_4,106_12_19
4_2_5,105_10_6
4_2_6,107_1_4
4_2_7,107_7_16
4_2_8,101_18_7
4_2_9,104_8_18
