2_6_3,109_12_16
2_6_4,103_20_11
2_6_5,107_12_18
2_6_6,109_12_9
2_6_7,108_19_1
2_6_8,107_1_19
2_6_9,103_15_6
2_6_10,102_13_2
2_6_11,108_4_18
2_6_12,101_20_8
2_6_13,101_15_14
2_6_14,106_20_11
2_6_15,109_12_8
2_6_16,109_11_11
2_6_17,108_7_10
2_6_18,108_3_1
2_6_19,108_3_1
2_6_20,110_16_20
2_7_1,105_17_14
2_7_2,110_15_2
2_7_3,106_11_6
2_7_4,109_11_10
2_7_5,105_2_2
2_7_6,106_15_6
2_7_7,107_17_9
2_7_8,107_17_18
2_7_9,105_3_5
2_7_10,108_7_14
2_7_11,110_2_4
2_7_12,104_12_4
2_7_13,103_7_4
2_7_14,106_2_11
2_7_15,106_9_17
2_7_16,101_16_19
2_7_17,105_7_2
2_7_18,101_18_8
2_7_19,107_3_11
2_7_20,109_7_20
2_8_1,109_18_1
2_8_2,101_19_3
2_8_3,101_16_4
2_8_4,105_10_14
2_8_5,104_18_1
2_8_6,106_1_16
2_8_7,104_20_4
2_8_8,103_3_10
2_8_9,107_19_7
2_8_10,109_8_18
2_8_11,101_17_11
2_8_12,109_19_6
2_8_13,104_16_10
2_8_14,109_18_11
2_8_15,101_9_18
2_8_16,103_13_17
2_8_17,103_9_3
2_8_18,105_9_19
2_8_19,103_19_5
2_8_20,109_19_20
2_9_1,102_12_1
2_9_2,101_16_11
2_9_3,102_9_6
2_9_4,101_19_7
2_9_5,104_10_1
2_9_6,104_10_14
2_9_7,102_3_6
2_9_8,101_13_8
2_9_9,110_7_9
2_9_10,101_5_4
2_9_11,110_1_11
2_9_12,101_13_4
2_9_13,108_14_17
2_9_14,107_7_8
2_9_15,110_20_2
2_9_16,106_1_16
2_9_17,108_4_14
2_9_18,104_1_3
2_9_19,109_16_11
2_9_20,104_15_20
2_10_1,103_14_12
2_10_2,102_4_14
2_10_3,105_9_6
2_10_4,107_16_10
2_10_5,105_2_18
2_10_6,101_10_17
2_10_7,110_11_19
2_10_8,105_2_2
2_10_9,106_15_19
2_10_10,104_12_7
2_10_11,103_1_7
2_10_12,107_17_9
2_10_13,107_17_9
2_10_14,107_10_2
2_10_15,108_16_12
2_10_16,102_14_7
2_10_17,110_5_15
2_10_18,101_16_15
2_10_19,108_6_9
2_10_20,102_2_1
2_11_1,107_20_7
2_11_2,105_11_3
2_11_3,110_16_13
2_11_4,106_15_3
2_11_5,108_2_19
2_11_6,102_15_4
2_11_7,102_15_4
2_11_8,102_5_5
2_11_9,105_16_10
2_11_10,106_11_5
2_11_11,107_1_15
2_11_12,103_13_4
2_11_13,103_1_3
2_11_14,104_8_2
2_11_15,109_8_8
2_11_16,104_14_6
2_11_17,104_1_15
2_11_18,104_18_1
2_11_19,108_5_10
2_11_20,109_3_20
2_12_1,101_1_18
2_12_2,104_8_5
2_12_3,102_7_12
2_12_4,109_12_18
2_12_5,102_17_18
2_12_6,109_4_6
2_12_7,110_4_9
2_12_8,101_6_17
2_12_9,104_6_2
2_12_10,101_3_17
2_12_11,102_11_19
2_12_12,110_8_2
2_12_13,103_5_11
2_12_14,103_8_6
2_12_15,101_17_1
2_12_16,106_14_11
2_12_17,102_15_9
2_12_18,107_17_9
2_12_19,109_2_13
2_12_20,105_7_20
2_13_1,105_18_6
2_13_2,107_9_9
2_13_3,104_12_7
2_13_4,102_2_7
2_13_5,107_9_16
2_13_6,109_18_18
2_13_7,101_9_2
2_13_8,101_11_17
2_13_9,107_18_6
2_13_10,109_15_17
2_13_11,102_3_15
2_13_12,102_18_4
2_13_13,103_13_3
2_13_14,107_15_12
2_13_15,107_19_4
2_13_16,105_9_11
2_13_17,109_20_17
2_13_18,108_3_17
2_13_19,106_18_15
2_13_20,104_8_2
2_14_1,101_8_5
2_14_2,101_12_18
2_14_3,108_9_17
2_14_4,103_14_16
2_14_5,102_2_16
2_14_6,102_13_7
2_14_7,103_15_13
2_14_8,105_20_2
